Unnamed: 0,sq_mt_built,n_rooms,n_bathrooms,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
7507,220.0,3,3.0,Brak,Brak,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,1200000,5455,HouseType 5: Áticos,0,0,1970.0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0.0,0,0,0,0
7508,72.0,3,1.0,Calle Valdesangil,34,0,1,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,230000,3194,HouseType 1: Pisos,0,0,1970.0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0
7509,69.0,3,1.0,Calle Azuaga,6,4,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,205000,2971,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,1,0,0,0
7510,71.0,2,1.0,Calle de la Ribera del Manzanares,15,0,1,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,231000,3254,HouseType 1: Pisos,1,0,1970.0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0
7511,50.0,1,1.0,Calle de Ofelia Nieto,57,2,1,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,146000,2920,HouseType 1: Pisos,0,0,1970.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,1,1,0
7512,105.0,3,2.0,Calle Santa Fe,2,4,0,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,395000,3762,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.0,0,0,1,0
7513,239.0,4,5.0,Calle Araiz,8,0,1,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,947000,3962,HouseType 4: Dúplex,0,0,1970.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.0,1,1,1,1
7514,45.0,1,1.0,Calle Ilustración,10,1,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,259000,5756,HouseType 1: Pisos,0,0,1970.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7515,200.0,4,3.0,Calle Acamar,13,2,0,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,580000,2900,HouseType 4: Dúplex,1,0,1970.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0.0,0,0,0,0
7516,242.0,6,3.0,Calle de Meléndez Valdés,72,2,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,890000,3678,HouseType 1: Pisos,0,0,1970.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0
7517,185.0,4,3.0,Calle Blanca de Castilla,9,1,0,Neighborhood 78: Valdemarín (4249.04 €/m2) - District 11: Moncloa,sale,955000,5162,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0.0,0,0,0,0
7518,200.0,5,3.0,Calle Quintana,17,5,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,900000,4500,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0
7519,280.0,4,6.0,Brak,Brak,1,0,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,1580000,5643,HouseType 1: Pisos,0,0,1970.0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,75000.0,0,0,0,0
7520,109.0,3,2.0,Calle de la Ribera del Manzanares,73,3,0,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,405000,3716,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0.0,0,1,0,1
7521,40.0,2,1.0,Travesía Sánchez Preciados,3,3,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,200000,5000,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7522,80.0,2,2.0,Calle de Ferraz,69,0,1,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,375000,4688,HouseType 1: Pisos,0,0,1970.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0
7523,69.0,3,1.0,Calle Armenteros,33,4,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,175000,2536,HouseType 1: Pisos,0,0,1970.0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.0,1,0,1,0
7524,150.0,2,3.0,Avenida de Valdemarín,91,2,0,Neighborhood 78: Valdemarín (4249.04 €/m2) - District 11: Moncloa,sale,1000000,6667,HouseType 5: Áticos,0,0,1970.0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0.0,0,0,1,1
7525,80.0,3,1.0,Brak,Brak,2,0,Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,sale,195000,2438,HouseType 1: Pisos,0,0,1965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
7526,50.0,1,1.0,Calle Peñalara,5,0,1,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,390000,7800,HouseType 1: Pisos,0,0,1970.0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0.0,1,0,0,0
7527,65.0,2,1.0,Paseo del Comandante Fortea,35,1,0,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,225000,3462,HouseType 1: Pisos,0,0,1970.0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1
